scenario,building,city,year,sql_path,extracted_at,interval_minutes,time_rows,representative_zone,abups_occupied_cooling_not_met_hours,abups_occupied_heating_not_met_hours,abups_time_not_comfortable_simple_ashrae55_hours,conditioned_building_area_m2,cooling_electricity_annual_gj,cooling_electricity_annual_kwh,cooling_electricity_min_kw,cooling_electricity_min_timestamp,cooling_electricity_min_w,cooling_electricity_peak_kw,cooling_electricity_peak_timestamp,cooling_electricity_peak_w,electricity_facility_annual_gj,electricity_facility_annual_kwh,electricity_facility_min_kw,electricity_facility_min_timestamp,electricity_facility_min_w,electricity_facility_peak_kw,electricity_facility_peak_timestamp,electricity_facility_peak_w,electricity_hvac_annual_gj,electricity_hvac_annual_kwh,electricity_hvac_min_kw,electricity_hvac_min_timestamp,electricity_hvac_min_w,electricity_hvac_peak_kw,electricity_hvac_peak_timestamp,electricity_hvac_peak_w,environment_period_index,facility_building_electricity_demand_rate_max_kw,facility_building_electricity_demand_rate_mean_kw,facility_building_electricity_demand_rate_min_kw,facility_cooling_setpoint_not_met_occupied_time_max_timestep_hours,facility_cooling_setpoint_not_met_occupied_time_total_hours,facility_cooling_setpoint_not_met_time_max_timestep_hours,facility_cooling_setpoint_not_met_time_total_hours,facility_heating_setpoint_not_met_occupied_time_max_timestep_hours,facility_heating_setpoint_not_met_occupied_time_total_hours,facility_heating_setpoint_not_met_time_max_timestep_hours,facility_heating_setpoint_not_met_time_total_hours,facility_hvac_electricity_demand_rate_max_kw,facility_hvac_electricity_demand_rate_mean_kw,facility_hvac_electricity_demand_rate_min_kw,facility_purchased_electricity_energy_peak_timestep_kwh,facility_purchased_electricity_energy_total_kwh,facility_purchased_electricity_rate_max_kw,facility_purchased_electricity_rate_mean_kw,facility_purchased_electricity_rate_min_kw,facility_total_electricity_demand_rate_max_kw,facility_total_electricity_demand_rate_mean_kw,facility_total_electricity_demand_rate_min_kw,fans_electricity_annual_gj,fans_electricity_annual_kwh,fans_electricity_min_kw,fans_electricity_min_timestamp,fans_electricity_min_w,fans_electricity_peak_kw,fans_electricity_peak_timestamp,fans_electricity_peak_w,heating_electricity_annual_gj,heating_electricity_annual_kwh,heating_electricity_min_kw,heating_electricity_min_timestamp,heating_electricity_min_w,heating_electricity_peak_kw,heating_electricity_peak_timestamp,heating_electricity_peak_w,interior_equipment_electricity_annual_gj,interior_equipment_electricity_annual_kwh,interior_equipment_electricity_min_kw,interior_equipment_electricity_min_timestamp,interior_equipment_electricity_min_w,interior_equipment_electricity_peak_kw,interior_equipment_electricity_peak_timestamp,interior_equipment_electricity_peak_w,interior_lights_electricity_annual_gj,interior_lights_electricity_annual_kwh,interior_lights_electricity_min_kw,interior_lights_electricity_min_timestamp,interior_lights_electricity_min_w,interior_lights_electricity_peak_kw,interior_lights_electricity_peak_timestamp,interior_lights_electricity_peak_w,outdoor_drybulb_c_max,outdoor_drybulb_c_mean,outdoor_drybulb_c_min,outdoor_rh_pct_max,outdoor_rh_pct_mean,outdoor_rh_pct_min,outdoor_wetbulb_c_max,outdoor_wetbulb_c_mean,outdoor_wetbulb_c_min,rep_zone_humidity_ratio_max,rep_zone_humidity_ratio_mean,rep_zone_humidity_ratio_min,rep_zone_mean_air_temp_c_max,rep_zone_mean_air_temp_c_mean,rep_zone_mean_air_temp_c_min,rep_zone_mean_radiant_temp_c_max,rep_zone_mean_radiant_temp_c_mean,rep_zone_mean_radiant_temp_c_min,rep_zone_operative_temp_c_max,rep_zone_operative_temp_c_mean,rep_zone_operative_temp_c_min,rep_zone_rh_pct_max,rep_zone_rh_pct_mean,rep_zone_rh_pct_min,rep_zone_sensible_cooling_energy_peak_timestep_kwh,rep_zone_sensible_cooling_energy_total_kwh,rep_zone_sensible_cooling_rate_max_kw,rep_zone_sensible_cooling_rate_mean_kw,rep_zone_sensible_cooling_rate_min_kw,rep_zone_sensible_heating_energy_peak_timestep_kwh,rep_zone_sensible_heating_energy_total_kwh,rep_zone_sensible_heating_rate_max_kw,rep_zone_sensible_heating_rate_mean_kw,rep_zone_sensible_heating_rate_min_kw,rep_zone_thermostat_air_temp_c_max,rep_zone_thermostat_air_temp_c_mean,rep_zone_thermostat_air_temp_c_min,total_building_area_m2,unconditioned_building_area_m2,annual_edh_c_h,daily_edh_max_k_h,delta_t_max_k,daily_edh_exceed_6kh_count
CMIP6_MPI_ssp245,office,Los_Angeles,2025,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2025/eplusout.sql,2026-05-17T15:06:31,10,52560,CORE_BOTTOM,120.67,19.83,793.83,4982.19,200.14,55594.44444444889,0.0,01-JAN-00:10,0.0,61.72818,11-SEP-09:10,61728.18,1296.9,360250.0000000288,12.344,16-APR-17:20,12344.0,146.09082999999998,11-SEP-09:10,146090.83,307.75,85486.11111111795,0.16834,01-JAN-00:10,168.34,85.82409,11-SEP-09:10,85824.09,3,72.7623949020037,31.361189429065572,12.158817557779713,0.16666666666666666,120.66666666666666,0.16666666666666666,134.5,0.16666666666666666,19.833333333333332,0.16666666666666666,19.833333333333332,85.83093861681155,9.763306318046428,0.16834104864229793,24.34847134187132,360250.5827447011,146.09082805122793,41.124495747112,12.344000020638894,146.09082805122793,41.124495747112,12.344000020638894,85.59,23775.000000001903,0.0,01-JAN-00:10,0.0,23.45602,11-SEP-09:20,23456.02,10.32,2866.666666666896,0.0,01-JAN-00:10,0.0,68.36743,06-MAR-07:10,68367.43,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.28,64800.00000000518,0.9174800000000001,18-JUN-17:20,917.48,25.003790000000002,02-JAN-17:00,25003.79,28.4,16.81517028158295,-1.5,88.00000000000001,72.0326103500761,34.0,23.315404499653138,13.780911082816608,-2.834789672740799,0.011990079136036749,0.008435226510303892,0.0034035099297266363,26.899766649836604,24.802922733272887,23.0218253729,26.32489835171923,25.263749734843774,23.483479496051967,26.60688120614818,25.033336234058332,23.252652434475984,62.37786252235745,43.350941452195116,17.858968006930695,4.294710585302998,69249.69672481302,25.768263511817988,7.905216521097378,0.0,0.0,0.0,0.0,0.0,0.0,26.899766649836604,24.802922733272887,23.0218253729,4982.19,0.0,57.6412,3.3008,0.6069,0
CMIP6_MPI_ssp245,office,Los_Angeles,2026,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2026/eplusout.sql,2026-05-17T15:06:38,10,52560,CORE_BOTTOM,142.0,13.17,805.67,4982.19,230.28,63966.66666667179,0.0,01-JAN-00:10,0.0,61.25301,11-MAY-15:10,61253.01,1330.59,369608.3333333629,12.3294,02-APR-17:20,12329.4,143.95101,11-MAY-15:10,143951.01,342.2,95055.55555556316,0.16834,01-JAN-00:10,168.34,82.20033000000001,11-MAY-15:10,82200.33,3,72.7623949020037,31.336726008840227,12.158448732837856,0.16666666666666666,142.0,0.16666666666666666,157.16666666666666,0.16666666666666666,13.166666666666666,0.16666666666666666,13.166666666666666,82.20718209773085,10.855894889356767,0.16834104864229793,23.991835222024545,369607.35906820564,143.95101133214726,42.19262089819699,12.329401854769111,143.95101133214726,42.19262089819699,12.329401854769111,94.56,26266.666666668767,0.0,01-JAN-00:10,0.0,25.568900000000003,24-APR-15:10,25568.9,5.68,1577.7777777779038,0.0,01-JAN-00:10,0.0,50.34519,27-NOV-07:10,50345.19,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.51,64586.111111116275,0.91711,30-JUL-17:20,917.11,25.003790000000002,02-JAN-17:00,25003.79,30.000000000000004,17.365322488584475,2.3,88.00000000000001,72.14278919330289,48.0,25.172975826846958,14.295389245193004,0.40216561768655873,0.012027038543103913,0.008643659574921202,0.004015446235340187,27.06829248262675,24.854714779628722,23.448971795002898,26.50791683748354,25.358742521942986,24.004382071365228,26.783624818008647,25.106728650785854,23.726676933184063,63.08071484963699,44.30774947283012,21.281694656125275,4.4935230190025734,71866.50922876698,26.96113811401544,8.203939409676595,0.0,0.0,0.0,0.0,0.0,0.0,27.06829248262675,24.854714779628722,23.448971795002898,4982.19,0.0,85.239,7.4896,0.7836,1
CMIP6_MPI_ssp245,office,Los_Angeles,2027,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2027/eplusout.sql,2026-05-17T15:06:44,10,52560,CORE_BOTTOM,117.0,29.17,800.83,4982.19,175.13,48647.22222222611,0.0,01-JAN-00:10,0.0,61.582480000000004,31-JUL-09:00,61582.48,1271.06,353072.2222222504,12.329870000000001,14-MAY-17:20,12329.87,146.62069,31-JUL-09:00,146620.69,282.09,78358.3333333396,0.16834,01-JAN-00:10,168.34,85.37472,03-APR-06:10,85374.72,3,72.7623949020037,31.35547453418555,12.150570771716774,0.16666666666666666,117.0,0.16666666666666666,133.0,0.16666666666666666,29.166666666666664,0.16666666666666666,29.166666666666664,85.381568305019,8.949654043008042,0.16834104864229793,24.43678208274411,353072.9263362158,146.62069249646464,40.305128577193585,12.329865220298156,146.62069249646464,40.305128577193585,12.329865220298156,83.56,23211.11111111297,0.0,01-JAN-00:10,0.0,22.95064,31-JUL-09:00,22950.64,11.71,3252.7777777780384,0.0,01-JAN-00:10,0.0,82.17795,03-APR-06:10,82177.95,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.1,64750.00000000518,0.90923,30-JUL-17:20,909.23,25.003790000000002,02-JAN-17:00,25003.79,27.3,16.397551369863013,2.0,88.00000000000001,72.07749238964992,47.0,22.46838987786465,13.400303268684647,0.4409411897962557,0.011820533412481408,0.00836947129251458,0.0041711422318942365,26.78518663157892,24.78359607272821,22.91156389422035,26.22448957037255,25.234042035487484,23.35627531589133,26.50024793863593,25.008819054107846,23.13391960505584,62.126670829650976,43.0530792491175,22.40578600285677,4.219314862176001,68549.91205554848,25.315889173056007,7.8253324264324755,0.0,0.0,0.0,0.0,0.0,0.0,26.78518663157892,24.78359607272821,22.91156389422035,4982.19,0.0,39.2034,3.0617,0.5002,0
CMIP6_MPI_ssp245,office,Los_Angeles,2028,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2028/eplusout.sql,2026-05-17T15:06:51,10,52560,CORE_BOTTOM,138.83,5.17,636.17,4982.19,211.51,58752.777777782474,0.0,01-JAN-00:10,0.0,60.17607,31-JUL-10:20,60176.07,1306.64,362955.5555555846,12.34334,29-MAY-17:20,12343.34,145.84851999999998,31-JUL-10:20,145848.52,317.96,88322.22222222928,0.16834,01-JAN-00:10,168.34,84.59249000000001,31-JUL-10:20,84592.49,3,72.7623949020037,31.346076212204768,12.16077975662056,0.16666666666666666,138.83333333333331,0.16666666666666666,152.33333333333331,0.16666666666666666,5.166666666666666,0.16666666666666666,5.166666666666666,84.59933591794494,10.087072421041581,0.16834104864229793,24.308086425393558,362954.382027238,145.84851855236136,41.43314863324635,12.34334015654834,145.84851855236136,41.43314863324635,12.34334015654834,91.0,25277.7777777798,0.0,01-JAN-00:10,0.0,23.584880000000002,31-JUL-10:20,23584.88,3.76,1044.444444444528,0.0,01-JAN-00:10,0.0,54.40553,13-MAR-06:10,54405.53,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.81,64669.44444444962,0.91944,18-JUN-17:20,919.44,25.003790000000002,02-JAN-17:00,25003.79,27.9,17.631425038051752,3.9,88.00000000000001,72.20431887366819,47.0,23.145308983617863,14.526002570974239,2.2064622515047105,0.012194990320820366,0.008761873551117287,0.004472312880671715,27.22385343999725,24.873149220376476,23.641263143711374,26.697054077404903,25.382582895288653,24.2093444367856,26.95318271771219,25.127866057832563,23.925303790248485,63.48103455069847,44.90613883707164,24.194538081961035,4.69891158966749,72197.53770490852,28.193469538004937,8.24172804850554,0.0,0.0,0.0,0.0,0.0,0.0,27.22385343999725,24.873149220376476,23.641263143711374,4982.19,0.0,74.2497,11.7106,0.9532,1
CMIP6_MPI_ssp245,office,Los_Angeles,2029,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2029/eplusout.sql,2026-05-17T15:06:58,10,52560,CORE_BOTTOM,113.17,23.17,847.0,4982.19,201.34,55927.777777782256,0.0,01-JAN-00:10,0.0,60.41968,31-JUL-10:20,60419.68,1297.2,360333.3333333622,12.34195,25-JUN-17:30,12341.95,146.26310999999998,18-SEP-10:20,146263.11,307.82,85505.55555556239,0.16834,01-JAN-00:10,168.34,96.46373,17-JAN-07:10,96463.73,3,72.7623949020037,31.36853408770709,12.15955187619998,0.16666666666666666,113.16666666666666,0.16666666666666666,128.16666666666666,0.16666666666666666,23.166666666666664,0.16666666666666666,23.166666666666664,96.47057836120686,9.765564353727676,0.16834104864229793,24.377184432263082,360334.7023469686,146.26310659357847,41.134098441434766,12.341948288934237,146.26310659357847,41.134098441434766,12.341948288934237,85.12,23644.444444446337,0.0,01-JAN-00:10,0.0,24.23284,18-SEP-10:20,24232.84,9.66,2683.333333333548,0.0,01-JAN-00:10,0.0,92.97577,17-JAN-07:10,92975.77,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.51,64863.88888889408,0.91822,30-JUL-17:20,918.22,25.003790000000002,02-JAN-17:00,25003.79,28.4,16.681535388127855,1.1,88.00000000000001,72.02046232876712,48.0,23.084685144294973,13.660934711065384,-0.4701438597270273,0.012140436523300543,0.008408115845514,0.0037396133489413317,26.805366308806633,24.791585373617966,22.64472373361035,26.23321157044895,25.243008306362228,23.051900929881537,26.513980612758587,25.017296839990095,22.848312331745944,63.9704208058296,43.21676646035992,20.649973946333176,4.225182160295618,68619.91860805951,25.351092961773706,7.833324042015925,0.0,0.0,0.0,0.0,0.0,0.0,26.805366308806633,24.791585373617966,22.64472373361035,4982.19,0.0,56.0461,2.6919,0.514,0
CMIP6_MPI_ssp245,office,Los_Angeles,2030,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2030/eplusout.sql,2026-05-17T15:07:04,10,52560,CORE_BOTTOM,129.67,9.83,739.67,4982.19,204.84,56900.000000004555,0.0,01-JAN-00:10,0.0,60.5905,22-SEP-12:30,60590.5,1298.69,360747.2222222511,12.329889999999999,07-MAY-17:20,12329.89,146.88173999999998,30-MAY-07:50,146881.74,310.0,86111.11111111799,0.16834,01-JAN-00:10,168.34,83.55741,24-JUL-09:10,83557.41,3,72.7623949020037,31.346395582586094,12.157888433300016,0.16666666666666666,129.66666666666666,0.16666666666666666,146.16666666666666,0.16666666666666666,9.833333333333332,0.16666666666666666,9.833333333333332,83.56425798233445,9.834809315430066,0.16834104864229793,24.48029003399633,360747.35490662156,146.88174020397798,41.181204898016155,12.329894967891951,146.88174020397798,41.181204898016155,12.329894967891951,88.39,24552.777777779742,0.0,01-JAN-00:10,0.0,22.71117,24-JUL-09:10,22711.17,5.09,1413.888888889002,0.0,01-JAN-00:10,0.0,52.118120000000005,25-JAN-07:10,52118.12,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.82,64672.22222222739,0.91655,30-JUL-17:20,916.55,25.003790000000002,02-JAN-17:00,25003.79,29.6,17.24646974885845,2.3,88.00000000000001,72.14262747336377,48.0,24.231224610485423,14.186417159071857,0.45810699925928206,0.011928390169778433,0.008596393684560388,0.004062877852846534,26.7812876514209,24.843816079354134,23.654691444008062,26.217619415261446,25.330569947976027,24.305073142160502,26.494796343560765,25.08719301366508,24.0033384338071,61.698615486400485,44.103827162236435,21.723292313050795,4.2769789414082995,70711.11046637002,25.661873648449795,8.072044573786533,0.0,0.0,0.0,0.0,0.0,0.0,26.7812876514209,24.843816079354134,23.654691444008062,4982.19,0.0,55.2875,2.5645,0.4948,0
CMIP6_MPI_ssp245,office,Los_Angeles,2031,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2031/eplusout.sql,2026-05-17T15:07:15,10,52560,CORE_BOTTOM,161.33,2.0,618.5,4982.19,247.66,68794.44444444995,0.0,01-JAN-00:10,0.0,61.19777,17-JUL-15:20,61197.77,1349.34,374816.6666666966,12.33153,02-JUL-17:30,12331.53,147.97057,11-SEP-15:40,147970.57,358.02,99450.00000000795,0.16834,01-JAN-00:10,168.34,86.21988999999999,11-SEP-15:40,86219.89,3,72.7623949020037,31.430149952992544,12.154831691971415,0.16666666666666666,161.33333333333331,0.16666666666666666,175.83333333333331,0.16666666666666666,2.0,0.16666666666666666,2.0,86.22673910966012,11.357265847388481,0.16834104864229793,24.66176139067942,374817.7624113378,147.97056834407653,42.78741580038103,12.331528739750684,147.97056834407653,42.78741580038103,12.331528739750684,96.06,26683.333333335468,0.0,01-JAN-00:10,0.0,25.041240000000002,11-SEP-15:40,25041.24,2.6,722.22222222228,0.0,01-JAN-00:10,0.0,29.68775,03-APR-06:10,29687.75,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,235.46,65405.555555560786,0.91349,30-JUL-17:20,913.49,25.003790000000002,02-JAN-10:30,25003.79,29.800000000000004,18.340689687975647,7.2,89.0,72.0814212328767,47.0,24.827978189925243,15.15439982756096,5.578299105146592,0.01233880242486132,0.008957140365004388,0.005454534374760919,27.144591368843045,24.89586595201433,23.782897969403873,26.57471958838948,25.420554129550286,24.399668274197833,26.85445889999448,25.15821004078231,24.10612646010392,63.347742342600355,45.787867027820276,29.063235942380654,4.572946060643605,73227.34496919648,27.437676363861623,8.359285955387726,0.0,0.0,0.0,0.0,0.0,0.0,27.144591368843045,24.89586595201433,23.782897969403873,4982.19,0.0,119.0362,6.3256,0.8545,1
CMIP6_MPI_ssp245,office,Los_Angeles,2032,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2032/eplusout.sql,2026-05-17T15:07:21,10,52560,CORE_BOTTOM,138.17,22.67,932.0,4982.19,238.06,66127.77777778306,0.0,01-JAN-00:10,0.0,67.66428,20-SEP-12:50,67664.28,1341.17,372547.22222225205,12.33045,02-APR-17:20,12330.45,149.76507,20-SEP-15:10,149765.07,351.8,97722.22222223005,0.16834,01-JAN-00:10,168.34,90.86832000000001,17-JAN-07:10,90868.32,3,72.7623949020037,31.36788302831186,12.157171120725558,0.16666666666666666,138.16666666666666,0.16666666666666666,155.33333333333331,0.16666666666666666,22.666666666666664,0.16666666666666666,23.0,90.87517520615552,11.160255358612353,0.16834104864229793,24.96084517120643,372546.4922694561,149.76507102723855,42.52813838692421,12.330454347194122,149.76507102723855,42.52813838692421,12.330454347194122,91.86,25516.66666666871,0.0,01-JAN-00:10,0.0,24.425849999999997,05-SEP-09:10,24425.85,10.19,2830.5555555557817,0.0,01-JAN-00:10,0.0,87.58676,17-JAN-07:10,87586.76,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,233.49,64858.33333333852,0.91583,30-JUL-17:20,915.83,25.003790000000002,02-JAN-17:00,25003.79,31.1,17.534306506849315,1.1,88.00000000000001,72.1230403348554,48.0,25.560241078620297,14.443371657199684,-0.8373243255457101,0.012527934803647995,0.008723772519812625,0.003685850984650149,27.121407713623473,24.83999530065205,22.92296367872696,26.53838784967897,25.329393601757108,23.38044923682968,26.82767400428596,25.084694451204577,23.151706457778317,63.05433518344595,44.682416521928026,20.71298008651371,4.202060664540636,71062.6292452148,25.212363987243815,8.11217228826653,0.0,0.0,0.0,0.0,0.0,0.0,27.121407713623473,24.83999530065205,22.92296367872696,4982.19,0.0,78.6012,5.2531,0.8277,0
CMIP6_MPI_ssp245,office,Los_Angeles,2033,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2033/eplusout.sql,2026-05-17T15:07:28,10,52560,CORE_BOTTOM,151.67,20.0,918.83,4982.19,238.68,66300.00000000531,0.0,01-JAN-00:10,0.0,67.97779,22-AUG-14:00,67977.79,1343.6,373222.22222225205,12.32946,09-JUL-17:30,12329.46,156.87082999999998,22-AUG-15:10,156870.83,354.89,98580.55555556343,0.16834,01-JAN-00:10,168.34,95.53950999999999,03-JAN-07:10,95539.51,3,72.7623949020037,31.34726519803871,12.154455793172401,0.16666666666666666,151.66666666666666,0.16666666666666666,169.83333333333331,0.16666666666666666,20.0,0.16666666666666666,20.333333333333332,95.5463606629582,11.258156124092999,0.16834104864229793,26.145138557471196,373223.4907818737,156.87083134482717,42.6054213221317,12.329456586153258,156.87083134482717,42.6054213221317,12.329456586153258,95.42,26505.555555557676,0.0,01-JAN-00:10,0.0,26.83148,22-AUG-15:10,26831.48,9.1,2527.7777777779797,0.0,01-JAN-00:10,0.0,92.38117,03-JAN-07:10,92381.17,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.84,64677.777777782954,0.91312,30-JUL-17:20,913.12,25.003790000000002,02-JAN-17:00,25003.79,31.1,17.47713280060883,-1.7,88.00000000000001,72.09363584474886,48.0,26.02796432653566,14.402240180489864,-3.2839426565577843,0.012451519205367741,0.008647490866129781,0.0030688247109948467,26.822058236259892,24.836412345008956,22.879504379610477,26.260270744995335,25.33185145779009,23.4420387647949,26.53640821196151,25.084131901399523,23.171018948956217,64.1306387997649,44.34006805111702,17.62957488649547,4.255641753362035,71277.23632400009,25.53385052017221,8.136670813242018,0.0,0.0,0.0,0.0,0.0,0.0,26.822058236259892,24.836412345008956,22.879504379610477,4982.19,0.0,79.9458,3.4522,0.5364,0
CMIP6_MPI_ssp245,office,Los_Angeles,2034,/lustre1/g/arch_guo/freeze-and-stress/simulations/CMIP6_MPI_ssp245/office/Los_Angeles/2034/eplusout.sql,2026-05-17T15:07:35,10,52560,CORE_BOTTOM,137.67,6.83,699.33,4982.19,219.26,60905.55555556042,0.0,01-JAN-00:10,0.0,67.43266,22-SEP-12:30,67432.66,1316.72,365755.55555558484,12.3299,14-MAY-17:20,12329.9,157.83285999999998,25-SEP-15:10,157832.86,328.28,91188.88888889618,0.16834,01-JAN-00:10,168.34,96.08218,25-SEP-15:10,96082.18,3,72.7623949020037,31.3382774838487,12.159848165835255,0.16666666666666666,137.66666666666666,0.16666666666666666,152.66666666666666,0.16666666666666666,6.833333333333333,0.16666666666666666,6.833333333333333,96.08903177669177,10.414496054439768,0.16834104864229793,26.3054768351847,365754.296195407,157.83286101110818,41.75277353828847,12.329901730678879,157.83286101110818,41.75277353828847,12.329901730678879,92.5,25694.4444444465,0.0,01-JAN-00:10,0.0,28.385720000000003,25-SEP-15:20,28385.72,4.83,1341.666666666774,0.0,01-JAN-00:10,0.0,71.3541,02-JAN-07:10,71354.1,705.43,195952.77777779344,11.241340000000001,01-JAN-00:10,11241.34,45.8647,02-JAN-08:10,45864.7,232.56,64600.000000005166,0.9185099999999999,25-JUN-17:20,918.51,25.003790000000002,02-JAN-17:00,25003.79,30.8,17.47466799847793,3.4,88.00000000000001,72.17781582952816,47.0,25.559477868128855,14.393493341145968,1.4693552583976044,0.012464394761157557,0.008658332790324864,0.004327035139412074,27.02550339270366,24.855725850430666,23.05786047365856,26.45685975827147,25.357177701120705,23.548155271176018,26.736050380659613,25.10645177577569,23.30300787241729,64.18997584579392,44.38556281315598,23.907496304256796,4.4446226450112745,71657.06065120264,26.66773587006765,8.180029754703499,0.0,0.0,0.0,0.0,0.0,0.0,27.02550339270366,24.85572585043067,23.05786047365856,4982.19,0.0,68.5505,4.8467,0.7361,0
